mode,threads,baseline_s,opt_s,speedup_from_rewrite,baseline_eff,opt_eff
island-fixed,1,5.813,4.598,1.2642,1.0,1.0
island-fixed,2,2.74,2.735,1.0018,1.0608,0.8406
island-fixed,3,2.033,2.461,0.8261,0.9531,0.6228
island-fixed,4,1.793,1.665,1.0769,0.8105,0.6904
island-fixed,6,1.344,1.991,0.675,0.7209,0.3849
island-fixed,8,1.177,1.141,1.0316,0.6174,0.5037
island-dtam,1,6.047,5.769,1.0482,1.0,1.0
island-dtam,2,2.792,3.547,0.7871,1.0829,0.8132
island-dtam,3,2.139,3.208,0.6668,0.9423,0.5994
island-dtam,4,1.729,2.22,0.7788,0.8743,0.6497
island-dtam,6,1.565,2.736,0.572,0.644,0.3514
island-dtam,8,1.606,1.555,1.0328,0.4707,0.4637
