comparison,engine,threads,n_seeds,fixed_med,dtam_med,dtam_minus_fixed_pct,dtam_wins,wilcoxon_p
E1 equal-work,opt,1,3,34607.5,31630.7,-8.6,3/3,0.25
E1 equal-work,opt,2,3,34607.5,31630.7,-8.6,3/3,0.25
E1 equal-work,opt,3,3,34607.5,31630.7,-8.6,3/3,0.25
E1 equal-work,opt,4,3,34607.5,31630.7,-8.6,3/3,0.25
E1 equal-work,opt,6,3,34607.5,31630.7,-8.6,3/3,0.25
E1 equal-work,opt,8,3,34607.5,31630.7,-8.6,3/3,0.25
E5 equal-wall-clock,,,12,7100.1,7695.7,8.39,1/12,0.001
E5 equal-wall-clock,,,12,5320.9,5331.8,0.2,9/12,0.3804
E5 equal-wall-clock,,,12,21046.2,21274.7,1.09,4/12,0.1514
E5 equal-wall-clock,,,12,17280.9,17205.6,-0.44,6/12,0.4238
E6 TSPLIB,,,12,2602.0,2606.0,0.15,5/12,0.8501
E6 TSPLIB,,,12,7542.0,7542.0,0.0,0/12,
E6 TSPLIB,,,12,6571.0,6577.5,0.1,5/12,0.9102
E6 TSPLIB,,,12,426.0,426.0,0.0,1/12,1.0
E6 TSPLIB,,,12,21282.0,21282.0,0.0,0/12,1.0
E6 TSPLIB,,,12,29491.5,29494.5,0.01,5/12,0.8311
E6 TSPLIB,,,12,675.0,675.0,0.0,0/12,1.0
