exp,engine,mode,threads,islands,time_s,speedup,efficiency,lb_ceiling,eff_vs_lb,karp_flatt,amdahl_f,amdahl_ceiling
E2,baseline,island-dtam,1,1,4.744,1.0,1.0,1.0,1.0,,0.2192,4.56
E2,baseline,island-dtam,2,1,2.358,2.0119,1.0059,1.0,2.0119,-0.0059,0.2192,4.56
E2,baseline,island-dtam,3,1,1.955,2.4266,0.8089,1.0,2.4266,0.1181,0.2192,4.56
E2,baseline,island-dtam,4,1,1.736,2.7327,0.6832,1.0,2.7327,0.1546,0.2192,4.56
E2,baseline,island-dtam,6,1,1.642,2.8892,0.4815,1.0,2.8892,0.2153,0.2192,4.56
E2,baseline,island-dtam,8,1,1.692,2.8038,0.3505,1.0,2.8038,0.2648,0.2192,4.56
E2,baseline,island-fixed,1,1,4.722,1.0,1.0,1.0,1.0,,0.1487,6.72
E2,baseline,island-fixed,2,1,2.319,2.0362,1.0181,1.0,2.0362,-0.0178,0.1487,6.72
E2,baseline,island-fixed,3,1,1.893,2.4945,0.8315,1.0,2.4945,0.1013,0.1487,6.72
E2,baseline,island-fixed,4,1,1.616,2.922,0.7305,1.0,2.922,0.123,0.1487,6.72
E2,baseline,island-fixed,6,1,1.369,3.4492,0.5749,1.0,3.4492,0.1479,0.1487,6.72
E2,baseline,island-fixed,8,1,1.254,3.7656,0.4707,1.0,3.7656,0.1606,0.1487,6.72
E2,opt,island-dtam,1,1,4.812,1.0,1.0,1.0,1.0,,0.2304,4.34
E2,opt,island-dtam,2,1,2.565,1.876,0.938,1.0,1.876,0.0661,0.2304,4.34
E2,opt,island-dtam,3,1,2.011,2.3928,0.7976,1.0,2.3928,0.1269,0.2304,4.34
E2,opt,island-dtam,4,1,1.783,2.6988,0.6747,1.0,2.6988,0.1607,0.2304,4.34
E2,opt,island-dtam,6,1,1.722,2.7944,0.4657,1.0,2.7944,0.2294,0.2304,4.34
E2,opt,island-dtam,8,1,1.763,2.7294,0.3412,1.0,2.7294,0.2759,0.2304,4.34
E2,opt,island-fixed,1,1,4.747,1.0,1.0,1.0,1.0,,0.1616,6.19
E2,opt,island-fixed,2,1,2.351,2.0191,1.0096,1.0,2.0191,-0.0095,0.1616,6.19
E2,opt,island-fixed,3,1,1.94,2.4469,0.8156,1.0,2.4469,0.113,0.1616,6.19
E2,opt,island-fixed,4,1,1.663,2.8545,0.7136,1.0,2.8545,0.1338,0.1616,6.19
E2,opt,island-fixed,6,1,1.422,3.3383,0.5564,1.0,3.3383,0.1595,0.1616,6.19
E2,opt,island-fixed,8,1,1.325,3.5826,0.4478,1.0,3.5826,0.1761,0.1616,6.19
