generation,elapsed,best_len,gap,diversity,migrations
10,0.0478649,18331.8,15.0791,0.173658,0
20,0.0917039,17790,11.6777,0.0566333,3
30,0.132414,17790,11.6777,0.004,11
40,0.17911,17773.3,11.5731,0.004025,20
50,0.22232,17618.3,10.5998,0.0073,27
60,0.267406,17618.3,10.5998,0.002675,35
70,0.309161,17595.8,10.4588,0.00529167,43
80,0.357466,17569.1,10.291,0.003775,51
90,0.404964,17517.8,9.96888,0.00293333,59
100,0.457392,17421.3,9.36313,0.0134083,67
110,0.507512,17353.9,8.94001,0.0097,75
120,0.550981,17275.6,8.44886,0.00451667,83
130,0.605191,17194.2,7.93769,0.005175,91
140,0.645982,17194.2,7.93769,0.00198333,99
150,0.690127,17136.1,7.57267,0.00533333,107
160,0.738061,17067.6,7.14302,0.00245,115
170,0.788145,17054.9,7.06305,0.00249167,123
180,0.830132,17054.9,7.06305,0.00295,131
190,0.880071,17029.6,6.90413,0.00195833,139
200,0.928977,17029.6,6.90413,0.00253333,147
210,0.969945,17021.5,6.85334,0.00126667,155
220,1.01013,17021.5,6.85334,0.00213333,163
230,1.04618,16988.7,6.64794,0.001825,171
240,1.08165,16982.4,6.60778,0.00180833,179
250,1.12083,16982.4,6.60778,0.00168333,187
260,1.16727,16982.4,6.60778,0.00175,195
270,1.21923,16973.7,6.55327,0.00256667,203
280,1.25976,16969.4,6.52623,0.00255833,211
290,1.31745,16969.4,6.52623,0.00231667,219
300,1.37018,16958.8,6.45993,0.00145,227
310,1.41414,16958.8,6.45993,0.00156667,235
320,1.46112,16958.8,6.45993,0.00125833,243
330,1.50743,16958.8,6.45993,0.00215833,251
340,1.55488,16958.8,6.45993,0.002375,259
350,1.60051,16938,6.32924,0.00204167,267
360,1.64702,16938,6.32924,0.001525,275
370,1.6859,16938,6.32924,0.00141667,283
380,1.71965,16936.7,6.321,0.003325,291
390,1.7623,16936.7,6.321,0.00150833,299
400,1.80383,16936.7,6.321,0.002275,307
410,1.86187,16936.7,6.321,0.00189167,315
420,1.91093,16936.7,6.321,0.00159167,323
430,1.95657,16936.7,6.321,0.0018,331
440,2.00101,16936.7,6.321,0.0029,339
450,2.05302,16936.7,6.321,0.00164167,347
460,2.09199,16936.7,6.321,0.00178333,356
470,2.12843,16936.7,6.321,0.00159167,363
480,2.16915,16936.7,6.321,0.00135,371
490,2.20774,16936.7,6.321,0.00215,379
500,2.24757,16936.7,6.321,0.00178333,387
510,2.28833,16936.7,6.321,0.00163333,395
520,2.33577,16922.1,6.22985,0.00214167,405
530,2.37612,16918.5,6.20715,0.00244167,411
540,2.4216,16918.5,6.20715,0.00354167,419
550,2.47751,16918.5,6.20715,0.0019,427
560,2.53084,16894.6,6.05704,0.00165833,435
570,2.57739,16870.3,5.90436,0.00201667,443
580,2.62197,16870.3,5.90436,0.00165833,451
590,2.67668,16870.3,5.90436,0.001425,459
600,2.71696,16870.3,5.90436,0.0019,467
610,2.77093,16870.3,5.90436,0.00200833,475
620,2.82725,16870.3,5.90436,0.00156667,483
630,2.87873,16870.3,5.90436,0.00233333,491
640,2.92296,16870.3,5.90436,0.0042,499
650,2.96533,16870.3,5.90436,0.00299167,507
660,3.00622,16870.3,5.90436,0.001775,515
