generation,elapsed,best_len,gap,diversity,migrations
10,0.0228491,18331.8,15.0791,0.173658,1
20,0.0497661,17906.1,12.4066,0.0508167,9
30,0.074451,17878,12.2302,0.044725,17
40,0.100694,17878,12.2302,0.0390583,25
50,0.121842,17851.3,12.0628,0.00245,33
60,0.142646,17771.7,11.5627,0.00266667,41
70,0.166298,17771.7,11.5627,0.00688333,49
80,0.187459,17680.6,10.9914,0.042175,57
90,0.209791,17588.7,10.414,0.00473333,65
100,0.230241,17588.7,10.414,0.00385,73
110,0.25329,17556,10.2086,0.00665833,81
120,0.272615,17549.2,10.1662,0.002975,89
130,0.291557,17525.9,10.0198,0.00304167,97
140,0.310472,17515.3,9.95316,0.00243333,105
150,0.338083,17515.3,9.95316,0.00463333,113
160,0.357862,17481.4,9.74067,0.007275,121
170,0.377794,17469.5,9.66559,0.00199167,129
180,0.399588,17433.9,9.44257,0.00215833,137
190,0.420251,17423.3,9.37598,0.00234167,145
200,0.443895,17421.5,9.36432,0.00285,153
210,0.466412,17421.5,9.36432,0.001475,161
220,0.494377,17387.6,9.15182,0.00205833,169
230,0.528086,17363,8.99722,0.00300833,177
240,0.606393,17350.4,8.91832,0.00330833,185
250,0.69282,17342.1,8.86636,0.00183333,193
260,0.748827,17310.2,8.66594,0.00461667,201
270,0.783606,17292.7,8.55613,0.00295,209
280,0.819954,17292.7,8.55613,0.002925,217
290,0.863655,17262.9,8.36865,0.00275833,225
300,0.909693,17262.9,8.36865,0.00170833,233
310,0.949189,17230.6,8.16605,0.001625,241
320,0.983658,17230.6,8.16605,0.00123333,249
330,1.02464,17230.6,8.16605,0.003475,257
340,1.07105,17212.6,8.05332,0.00268333,265
350,1.10371,17185.8,7.88519,0.003525,273
360,1.15092,17175.1,7.81762,0.00508333,281
370,1.18853,17158.5,7.71347,0.00309167,289
380,1.23462,17125,7.50343,0.00415833,297
390,1.2691,17125,7.50343,0.001725,305
400,1.30526,17125,7.50343,0.00225833,313
410,1.35354,17119.7,7.46971,0.00310833,321
420,1.3946,17119.7,7.46971,0.00189167,329
430,1.43233,17114.1,7.43494,0.00234167,337
440,1.4717,17108.7,7.40121,0.002275,345
450,1.5105,17083.8,7.24472,0.00235,353
460,1.54886,17083.8,7.24472,0.00174167,361
470,1.58969,17078.4,7.21099,0.00150833,369
480,1.63168,17078.4,7.21099,0.001325,377
490,1.67232,17078.4,7.21099,0.00231667,385
500,1.71022,17067.5,7.14249,0.00184167,393
510,1.74906,17067.5,7.14249,0.00165,401
520,1.78821,17067.5,7.14249,0.00183333,409
530,1.82879,17067.5,7.14249,0.00165,417
540,1.87394,17067.5,7.14249,0.00240833,425
550,1.91405,17067.5,7.14249,0.00200833,433
560,1.94693,17067.5,7.14249,0.00214167,441
570,1.98573,17067.5,7.14249,0.00163333,449
580,2.02853,17067.5,7.14249,0.00186667,457
590,2.07245,17067.5,7.14249,0.00183333,465
600,2.1142,17067.5,7.14249,0.00178333,473
610,2.16355,17067.5,7.14249,0.00199167,481
620,2.2114,17067.5,7.14249,0.00159167,489
630,2.2526,17067.5,7.14249,0.00191667,497
640,2.29941,17067.5,7.14249,0.00168333,505
650,2.35215,17067.5,7.14249,0.00275,513
660,2.4076,17067.5,7.14249,0.002075,521
670,2.45619,17067.5,7.14249,0.00194167,529
680,2.49749,17067.5,7.14249,0.00283333,537
690,2.54014,17067.5,7.14249,0.00231667,545
700,2.58486,17067.5,7.14249,0.00154167,553
710,2.62537,17067.5,7.14249,0.001925,561
720,2.67387,17067.5,7.14249,0.00149167,569
730,2.71393,17067.5,7.14249,0.002075,577
740,2.75524,17065.2,7.12801,0.003275,585
750,2.7945,17063.3,7.11594,0.00269167,595
760,2.84946,17053.9,7.05668,0.00143333,601
770,2.89137,17051.9,7.04461,0.002125,609
780,2.955,17039.1,6.96382,0.00248333,617
790,3.0017,17009.4,6.77758,0.0045,625
