generation,elapsed,best_len,gap,diversity,migrations
5,0.0674489,19126.9,20.0703,0.463942,0
10,0.123075,18278.2,14.7425,0.36815,0
15,0.176851,18278.2,14.7425,0.340017,0
20,0.230641,18073,13.4541,0.3089,0
25,0.28305,17951.5,12.6915,0.2938,0
30,0.333875,17951.5,12.6915,0.262742,0
35,0.397178,17916,12.4685,0.309683,0
40,0.441316,17916,12.4685,0.284075,0
45,0.493289,17916,12.4685,0.260825,0
50,0.548327,17916,12.4685,0.279783,0
55,0.603326,17916,12.4685,0.317842,0
60,0.657921,17916,12.4685,0.309483,0
65,0.712865,17916,12.4685,0.303867,0
70,0.764344,17903.5,12.3901,0.294558,0
75,0.820527,17903.5,12.3901,0.294967,0
80,0.871273,17849.4,12.0505,0.276483,0
85,0.923218,17849.4,12.0505,0.256642,0
90,0.976401,17849.4,12.0505,0.268725,0
95,1.02718,17849.4,12.0505,0.275158,0
100,1.07446,17849.4,12.0505,0.238083,0
105,1.12312,17849.4,12.0505,0.258242,0
110,1.17692,17849.4,12.0505,0.254258,0
115,1.22823,17849.4,12.0505,0.288108,0
120,1.28013,17849.4,12.0505,0.262733,0
125,1.32867,17849.4,12.0505,0.271658,0
130,1.3768,17849.4,12.0505,0.261925,0
135,1.42649,17849.4,12.0505,0.257775,0
140,1.47706,17849.4,12.0505,0.258967,0
145,1.53476,17849.4,12.0505,0.244417,0
150,1.59074,17849.4,12.0505,0.250025,0
155,1.64269,17849.4,12.0505,0.257442,0
160,1.69345,17849.4,12.0505,0.2683,0
165,1.74431,17849.4,12.0505,0.273775,0
170,1.79515,17849.4,12.0505,0.2825,0
175,1.85549,17849.4,12.0505,0.241225,0
180,1.90612,17849.4,12.0505,0.224717,0
185,1.95687,17849.4,12.0505,0.248392,0
190,2.00871,17849.4,12.0505,0.23595,0
195,2.05944,17849.4,12.0505,0.245733,0
200,2.11545,17849.4,12.0505,0.249342,0
205,2.16699,17849.4,12.0505,0.25685,0
210,2.22101,17849.4,12.0505,0.247483,0
215,2.27061,17849.4,12.0505,0.227558,0
220,2.32466,17849.4,12.0505,0.238217,0
225,2.37865,17849.4,12.0505,0.269417,0
230,2.43057,17849.4,12.0505,0.273108,0
235,2.48499,17849.4,12.0505,0.280633,0
240,2.53354,17849.4,12.0505,0.263033,0
245,2.58836,17849.4,12.0505,0.27295,0
250,2.64381,17849.4,12.0505,0.286058,0
255,2.69551,17849.4,12.0505,0.284517,0
260,2.74371,17849.4,12.0505,0.254525,0
265,2.7907,17849.4,12.0505,0.249742,0
270,2.84429,17849.4,12.0505,0.262842,0
275,2.90006,17849.4,12.0505,0.249567,0
280,2.9562,17849.4,12.0505,0.23885,0
285,3.00335,17849.4,12.0505,0.238842,0
