generation,elapsed,best_len,gap,diversity,migrations
10,0.044414,17805.9,11.7779,0.177925,0
20,0.091188,17591.4,10.4312,0.057175,4
30,0.133501,17591.4,10.4312,0.0251,13
40,0.17705,17483,9.7504,0.0435833,18
50,0.22321,17384,9.12899,0.04815,25
60,0.281032,17341.4,8.86169,0.0267833,32
70,0.331654,17341.4,8.86169,0.00973333,40
80,0.379618,17341.4,8.86169,0.00229167,48
90,0.431517,17288.6,8.53015,0.0165833,56
100,0.467283,17231,8.16844,0.0032,64
110,0.512983,17231,8.16844,0.00465,72
120,0.554362,17139.9,7.597,0.007025,80
130,0.596953,17111.4,7.41812,0.0021,89
140,0.639765,17108.7,7.40098,0.00355833,96
150,0.687749,17091.4,7.2922,0.00495,104
160,0.73048,17081.7,7.23166,0.00233333,112
170,0.777927,17044.3,6.99667,0.0021,120
180,0.821238,17044.3,6.99667,0.00215833,128
190,0.863105,17039,6.96352,0.002275,136
200,0.906178,17014.6,6.81018,0.0026,144
210,0.951707,17014.6,6.81018,0.00145,152
220,0.996795,17014.6,6.81018,0.00196667,160
230,1.0409,17014.6,6.81018,0.001825,168
240,1.08385,17014.6,6.81018,0.00163333,176
250,1.12496,17014.6,6.81018,0.00206667,184
260,1.16386,16980.7,6.59722,0.00190833,192
270,1.21955,16942.2,6.35547,0.002475,200
280,1.27033,16927,6.26036,0.00249167,208
290,1.32642,16927,6.26036,0.002,216
300,1.37763,16927,6.26036,0.001925,224
310,1.41803,16927,6.26036,0.001575,232
320,1.46814,16927,6.26036,0.00121667,240
330,1.51692,16927,6.26036,0.00236667,248
340,1.55628,16927,6.26036,0.00218333,256
350,1.59699,16927,6.26036,0.002,264
360,1.64275,16927,6.2602,0.00193333,273
370,1.69047,16927,6.2602,0.00226667,280
380,1.73038,16927,6.2602,0.00160833,288
390,1.7719,16927,6.2602,0.00174167,296
400,1.82046,16922.9,6.23442,0.003725,304
410,1.86979,16922.9,6.23442,0.00165,312
420,1.91498,16922.9,6.23442,0.00186667,320
430,1.94989,16921.9,6.22859,0.00235833,328
440,1.98184,16905.8,6.12701,0.00393333,336
450,2.02356,16905.8,6.12701,0.00179167,344
460,2.06896,16905.8,6.12701,0.00180833,352
470,2.11769,16905.8,6.12701,0.00144167,360
480,2.16212,16886.5,6.00637,0.00219167,368
490,2.20551,16886.5,6.00637,0.00253333,376
500,2.25606,16860,5.83999,0.00143333,384
510,2.29942,16860,5.83999,0.00166667,392
520,2.35,16853.3,5.79741,0.001875,400
530,2.38983,16853.3,5.79741,0.00179167,408
540,2.43205,16850.2,5.7781,0.00261667,416
550,2.47615,16850.2,5.7781,0.00185,424
560,2.53089,16848.6,5.76819,0.00259167,432
570,2.57578,16845.5,5.74886,0.00243333,440
580,2.62227,16845.5,5.74886,0.002,448
590,2.66667,16845.5,5.74886,0.00199167,456
600,2.70683,16845.5,5.74886,0.00156667,464
610,2.74971,16845.5,5.74886,0.00231667,472
620,2.79023,16845.5,5.74886,0.00158333,480
630,2.83509,16845.5,5.74886,0.00219167,488
640,2.87767,16843.6,5.73667,0.00171667,496
650,2.91784,16843.6,5.73667,0.00295,504
660,2.96515,16829.3,5.647,0.00238333,512
670,3.01312,16829.3,5.647,0.00138333,520
