generation,elapsed,best_len,gap,diversity,migrations
10,0.0229192,17930.6,12.5606,0.165742,1
20,0.0446901,17595.2,10.4552,0.0905583,9
30,0.065264,17470.4,9.67131,0.0063,18
40,0.0858922,17448.4,9.53372,0.005625,25
50,0.109922,17405.1,9.2614,0.0141833,33
60,0.130586,17355.5,8.95012,0.00440833,41
70,0.158652,17355.5,8.95012,0.00396667,49
80,0.180133,17322.4,8.74241,0.00365833,57
90,0.207592,17322.4,8.74241,0.00339167,65
100,0.236482,17313.7,8.68815,0.00410833,73
110,0.269087,17313.7,8.68815,0.037025,81
120,0.328211,17313,8.68345,0.00218333,89
130,0.504539,17288.7,8.53071,0.00164167,97
140,0.564734,17255.4,8.32198,0.00433333,105
150,0.619665,17104.4,7.37417,0.00701667,113
160,0.665679,17104.4,7.37417,0.0035,121
170,0.707107,17102.6,7.36295,0.00250833,129
180,0.830403,17102.6,7.36295,0.00228333,138
190,0.880163,17097.1,7.32785,0.00241667,145
200,0.939091,17097.1,7.32785,0.00339167,153
210,1.0041,17050.2,7.0335,0.00168333,161
220,1.06092,17048.4,7.02228,0.00205,169
230,1.11424,17048.4,7.02228,0.00435,178
240,1.16289,17010,6.7815,0.00409167,185
250,1.20286,17010,6.7815,0.00394167,193
260,1.25021,17010,6.7815,0.00185,201
270,1.29641,16986,6.6306,0.00205833,209
280,1.34144,16986,6.6306,0.00275833,217
290,1.38875,16986,6.6306,0.00256667,225
300,1.43154,16986,6.6306,0.00274167,233
310,1.47546,16986,6.6306,0.00213333,241
320,1.52556,16965,6.49869,0.00204167,249
330,1.57085,16965,6.49869,0.00193333,257
340,1.68075,16947.4,6.3882,0.00198333,266
350,1.73023,16947.4,6.3882,0.00203333,273
360,1.79258,16947.4,6.3882,0.00280833,282
370,1.89477,16947.4,6.3882,0.00214167,290
380,1.97208,16947.4,6.3882,0.00255833,297
390,2.22236,16930,6.27894,0.00225,305
400,2.27144,16930,6.27894,0.00241667,313
410,2.34991,16930,6.27894,0.00258333,321
420,2.38925,16925.1,6.24865,0.00245833,329
430,2.45524,16889.2,6.02304,0.00433333,337
440,2.53419,16889.2,6.02304,0.002275,345
450,2.57632,16889.2,6.02304,0.00184167,353
460,2.61586,16889.2,6.02304,0.00185,361
470,2.64865,16889.2,6.02304,0.00190833,369
480,2.68026,16880,5.96517,0.001575,377
490,2.70863,16880,5.96517,0.00199167,386
500,2.73725,16880,5.96517,0.002275,393
510,2.77947,16880,5.96517,0.001725,401
520,2.82216,16880,5.96517,0.00255,409
530,2.85897,16880,5.96517,0.00299167,417
540,2.9012,16880,5.96517,0.001875,425
550,2.93605,16880,5.96517,0.00204167,433
560,2.97511,16880,5.96517,0.002025,441
570,3.01391,16880,5.96517,0.00166667,449
