generation,elapsed,best_len,gap,diversity,migrations
5,0.0850689,18800.8,18.023,0.431683,0
10,0.135828,18321.1,15.0118,0.374358,0
15,0.196653,18123.6,13.7718,0.353325,0
20,0.249297,18048.7,13.3019,0.317892,0
25,0.307006,17991.8,12.9448,0.327658,0
30,0.364017,17772.7,11.5691,0.271733,0
35,0.414762,17772.7,11.5691,0.235775,0
40,0.462527,17772.7,11.5691,0.230625,0
45,0.516645,17772.7,11.5691,0.2258,0
50,0.577382,17772.7,11.5691,0.229,0
55,0.627055,17772.7,11.5691,0.262392,0
60,0.682823,17772.7,11.5691,0.221208,0
65,0.735685,17772.7,11.5691,0.22695,0
70,0.787579,17772.7,11.5691,0.24315,0
75,0.841019,17772.7,11.5691,0.24815,0
80,0.891824,17772.7,11.5691,0.253842,0
85,0.943834,17772.7,11.5691,0.279433,0
90,0.997613,17706.3,11.1525,0.257958,0
95,1.04831,17706.3,11.1525,0.252442,0
100,1.10083,17706.3,11.1525,0.249892,0
105,1.15116,17706.3,11.1525,0.26545,0
110,1.20681,17706.3,11.1525,0.273892,0
115,1.26383,17706.3,11.1525,0.259967,0
120,1.31658,17706.3,11.1525,0.271825,0
125,1.37091,17644.6,10.7652,0.274883,0
130,1.42155,17587.6,10.407,0.254242,0
135,1.47496,17514.6,9.94929,0.252017,0
140,1.53057,17514.6,9.94929,0.251533,0
145,1.58749,17514.6,9.94929,0.259417,0
150,1.64168,17514.6,9.94929,0.246333,0
155,1.69092,17514.6,9.94929,0.189925,0
160,1.74455,17481.5,9.74125,0.248533,0
165,1.7971,17481.5,9.74125,0.222375,0
170,1.85277,17481.5,9.74125,0.212867,0
175,1.90369,17481.5,9.74125,0.221492,0
180,1.95745,17468.2,9.65776,0.242017,0
185,2.00988,17468.2,9.65776,0.260383,0
190,2.06552,17468.2,9.65776,0.238475,0
195,2.11598,17468.2,9.65776,0.252708,0
200,2.16831,17468.2,9.65776,0.242825,0
205,2.22442,17468.2,9.65776,0.221358,0
210,2.27869,17468.2,9.65776,0.227467,0
215,2.32839,17468.2,9.65776,0.233617,0
220,2.38118,17468.2,9.65776,0.246542,0
225,2.42984,17468.2,9.65776,0.258425,0
230,2.47784,17468.2,9.65776,0.256908,0
235,2.52893,17468.2,9.65776,0.258133,0
240,2.58581,17468.2,9.65776,0.273883,0
245,2.64254,17468.2,9.65776,0.230833,0
250,2.69631,17468.2,9.65776,0.236408,0
255,2.74823,17468.2,9.65776,0.241117,0
260,2.80616,17468.2,9.65776,0.255767,0
265,2.85434,17468.2,9.65776,0.221783,0
270,2.90554,17468.2,9.65776,0.232008,0
275,2.95782,17468.2,9.65776,0.213558,0
