mode,instance,n,threads,island_pop,total_pop,generations,seed,twoopt,best_len,gap,total_time,time_to_target,migrations
serial,uniform500,500,1,240,240,3726,1,0,61943.1,288.851,3.00059,-1,0
island-fixed,uniform500,500,8,30,240,17260,1,0,18241.9,14.5147,3.00109,-1,13808
island-dtam,uniform500,500,8,30,240,14110,1,0,18470.5,15.9495,3.00285,-1,11279
serial,clustered600,600,1,240,240,4299,1,0,18556.4,-1,4.00023,-1,0
island-fixed,clustered600,600,8,30,240,20270,1,0,5518.89,-1,4.00156,-1,16216
island-dtam,clustered600,600,8,30,240,13660,1,0,5639.85,-1,4.00393,-1,10920
serial,uniform500,500,1,240,240,3971,2,0,62977.8,295.347,3.00095,-1,0
island-fixed,uniform500,500,8,30,240,18290,2,0,18320,15.0049,3.00157,-1,14632
island-dtam,uniform500,500,8,30,240,13610,2,0,18943,18.9158,3.00111,-1,10878
serial,clustered600,600,1,240,240,4231,2,0,13376.6,-1,4.00115,-1,0
island-fixed,clustered600,600,8,30,240,21790,2,0,5849.45,-1,4.00094,-1,17432
island-dtam,clustered600,600,8,30,240,12720,2,0,6110.7,-1,4.00166,-1,10167
serial,uniform500,500,1,240,240,4000,3,0,58083.3,264.621,3.00055,-1,0
island-fixed,uniform500,500,8,30,240,18320,3,0,18872.7,18.4745,3.00041,-1,14656
island-dtam,uniform500,500,8,30,240,14810,3,0,19066.1,19.6886,3.00084,-1,11838
serial,clustered600,600,1,240,240,4459,3,0,13115.2,-1,4.00043,-1,0
island-fixed,clustered600,600,8,30,240,19150,3,0,5747.68,-1,4.00016,-1,15320
island-dtam,clustered600,600,8,30,240,13560,3,0,5783.12,-1,4.00135,-1,10838
serial,uniform500,500,1,240,240,3875,4,0,59533.9,273.728,3.00016,-1,0
island-fixed,uniform500,500,8,30,240,18290,4,0,18534.4,16.351,3.00063,-1,14632
island-dtam,uniform500,500,8,30,240,13310,4,0,18989.1,19.2051,3.00098,-1,10642
serial,clustered600,600,1,240,240,4363,4,0,9041.16,-1,4.00084,-1,0
island-fixed,clustered600,600,8,30,240,20140,4,0,4984.67,-1,4.0018,-1,16112
island-dtam,clustered600,600,8,30,240,13740,4,0,4964.23,-1,4.0021,-1,10985
