mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-fixed,opt,uniform500,500,1,8,30,240,4000,1,0,0.15,32470.1,103.833,5.264,-1,3200,3192,3200,0,E1,4,4.25,4.759,5.523,0.11985916033470681,32470.1,45.05
island-fixed,opt,uniform500,500,1,8,30,240,4000,2,0,0.15,34925.1,119.245,4.508,-1,3200,3191,3200,0,E1,4,4.24,4.3635,4.508,0.028764516440632805,34925.1,45.05
island-fixed,opt,uniform500,500,1,8,30,240,4000,3,0,0.15,34607.5,117.251,4.297,-1,3200,3183,3200,0,E1,4,4.241,4.2780000000000005,4.457,0.019770585323423618,34607.5,45.05
island-dtam,opt,uniform500,500,1,8,30,240,4000,1,0,0.15,31577.3,98.2283,5.336,-1,3185,3185,3200,0,E1,4,5.336,5.3469999999999995,5.609,0.02129540372393966,31577.3,45.05
island-dtam,opt,uniform500,500,1,8,30,240,4000,2,0,0.15,31711,99.0678,5.313,-1,3196,3196,3200,0,E1,4,5.313,5.336,5.766,0.03494198087292434,31711.0,45.05
island-dtam,opt,uniform500,500,1,8,30,240,4000,3,0,0.15,31630.7,98.564,5.304,-1,3190,3190,3200,0,E1,4,5.304,5.312,5.633,0.02602920295108111,31630.7,45.05
island-fixed,opt,uniform500,500,2,8,30,240,4000,1,0,0.15,32470.1,103.833,2.178,-1,3200,3192,3200,0,E1,4,2.178,2.29,2.424,0.04209065453762907,32470.1,45.05
island-fixed,opt,uniform500,500,2,8,30,240,4000,2,0,0.15,34925.1,119.245,2.162,-1,3200,3191,3200,0,E1,4,2.162,2.33,2.431,0.04807526432781438,34925.1,45.05
island-fixed,opt,uniform500,500,2,8,30,240,4000,3,0,0.15,34607.5,117.251,2.199,-1,3200,3183,3200,0,E1,4,2.199,2.3735,2.663,0.07897706709412389,34607.5,45.05
island-dtam,opt,uniform500,500,2,8,30,240,4000,1,0,0.15,31577.3,98.2283,2.845,-1,3185,3185,3200,0,E1,4,2.814,3.0255,3.376,0.07800050391333498,31577.3,45.05
