mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,landscape,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
serial,opt,uniform500,500,1,1,240,240,3192,1,0,0.15,61038.6,283.174,4,-1,0,0,0,0,E5,uniform500,1,4.0,4.0,4.0,0.0,61038.6,0.0
serial,opt,uniform500,500,1,1,240,240,3288,2,0,0.15,65205.3,309.331,4,-1,0,0,0,0,E5,uniform500,1,4.0,4.0,4.0,0.0,65205.3,0.0
serial,opt,uniform500,500,1,1,240,240,3284,3,0,0.15,66713.5,318.798,4,-1,0,0,0,0,E5,uniform500,1,4.0,4.0,4.0,0.0,66713.5,0.0
serial,opt,uniform500,500,1,1,240,240,3325,4,0,0.15,62077.3,289.694,4,-1,0,0,0,0,E5,uniform500,1,4.0,4.0,4.0,0.0,62077.3,0.0
serial,opt,uniform500,500,1,1,240,240,3338,5,0,0.15,67236.4,322.081,4,-1,0,0,0,0,E5,uniform500,1,4.0,4.0,4.0,0.0,67236.4,0.0
serial,opt,uniform500,500,1,1,240,240,3281,6,0,0.15,69163.2,334.176,4,-1,0,0,0,0,E5,uniform500,1,4.0,4.0,4.0,0.0,69163.2,0.0
serial,opt,uniform500,500,1,1,240,240,3330,7,0,0.15,69084.3,333.681,4.001,-1,0,0,0,0,E5,uniform500,1,4.001,4.001,4.001,0.0,69084.3,0.0
serial,opt,uniform500,500,1,1,240,240,3319,8,0,0.15,65010.1,308.105,4,-1,0,0,0,0,E5,uniform500,1,4.0,4.0,4.0,0.0,65010.1,0.0
serial,opt,uniform500,500,1,1,240,240,3295,9,0,0.15,71190.9,346.905,4,-1,0,0,0,0,E5,uniform500,1,4.0,4.0,4.0,0.0,71190.9,0.0
serial,opt,uniform500,500,1,1,240,240,3168,10,0,0.15,67470,323.547,4,-1,0,0,0,0,E5,uniform500,1,4.0,4.0,4.0,0.0,67470.0,0.0
serial,opt,uniform500,500,1,1,240,240,3181,11,0,0.15,71987.6,351.906,4.001,-1,0,0,0,0,E5,uniform500,1,4.001,4.001,4.001,0.0,71987.6,0.0
serial,opt,uniform500,500,1,1,240,240,3261,12,0,0.15,68030.5,327.066,4,-1,0,0,0,0,E5,uniform500,1,4.0,4.0,4.0,0.0,68030.5,0.0
island-fixed,opt,uniform500,500,4,8,30,240,11890,1,0,0.15,19064.5,19.6787,4.003,-1,9512,9504,9512,0,E5,uniform500,1,4.003,4.003,4.003,0.0,19064.5,0.0
island-fixed,opt,uniform500,500,4,8,30,240,9270,2,0,0.15,21050.9,32.1481,4.002,-1,7416,7407,7416,0,E5,uniform500,1,4.002,4.002,4.002,0.0,21050.9,0.0
island-fixed,opt,uniform500,500,4,8,30,240,8920,3,0,0.15,21267.6,33.5088,4.001,-1,7136,7119,7136,0,E5,uniform500,1,4.001,4.001,4.001,0.0,21267.6,0.0
island-fixed,opt,uniform500,500,4,8,30,240,9420,4,0,0.15,21041.6,32.0897,4,-1,7536,7529,7536,0,E5,uniform500,1,4.0,4.0,4.0,0.0,21041.6,0.0
island-fixed,opt,uniform500,500,4,8,30,240,9450,5,0,0.15,20315.2,27.53,4.002,-1,7560,7554,7560,0,E5,uniform500,1,4.002,4.002,4.002,0.0,20315.2,0.0
island-fixed,opt,uniform500,500,4,8,30,240,9110,6,0,0.15,20828.9,30.755,4.002,-1,7288,7275,7288,0,E5,uniform500,1,4.002,4.002,4.002,0.0,20828.9,0.0
island-fixed,opt,uniform500,500,4,8,30,240,9280,7,0,0.15,21015.1,31.9237,4.001,-1,7424,7413,7424,0,E5,uniform500,1,4.001,4.001,4.001,0.0,21015.1,0.0
island-fixed,opt,uniform500,500,4,8,30,240,8870,8,0,0.15,21125.1,32.6139,4.004,-1,7096,7085,7096,0,E5,uniform500,1,4.004,4.004,4.004,0.0,21125.1,0.0
island-fixed,opt,uniform500,500,4,8,30,240,9270,9,0,0.15,21067.5,32.2528,4,-1,7416,7402,7416,0,E5,uniform500,1,4.0,4.0,4.0,0.0,21067.5,0.0
island-fixed,opt,uniform500,500,4,8,30,240,9350,10,0,0.15,21111.9,32.5312,4.003,-1,7480,7465,7480,0,E5,uniform500,1,4.003,4.003,4.003,0.0,21111.9,0.0
