mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,instance_file,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
serial,opt,a280,280,1,1,240,240,472,1,1,0.15,2650,2.75301,4.008,-1,0,0,0,0,E6,a280,1,4.008,4.008,4.008,0.0,2650.0,0.0
serial,opt,a280,280,1,1,240,240,481,2,1,0.15,2625,1.78364,4.007,-1,0,0,0,0,E6,a280,1,4.007,4.007,4.007,0.0,2625.0,0.0
serial,opt,a280,280,1,1,240,240,490,3,1,0.15,2661,3.17953,4.001,-1,0,0,0,0,E6,a280,1,4.001,4.001,4.001,0.0,2661.0,0.0
serial,opt,a280,280,1,1,240,240,482,4,1,0.15,2625,1.78364,4,-1,0,0,0,0,E6,a280,1,4.0,4.0,4.0,0.0,2625.0,0.0
serial,opt,a280,280,1,1,240,240,485,5,1,0.15,2611,1.24079,4.001,-1,0,0,0,0,E6,a280,1,4.001,4.001,4.001,0.0,2611.0,0.0
serial,opt,a280,280,1,1,240,240,472,6,1,0.15,2649,2.71423,4.003,-1,0,0,0,0,E6,a280,1,4.003,4.003,4.003,0.0,2649.0,0.0
serial,opt,a280,280,1,1,240,240,477,7,1,0.15,2654,2.9081,4.009,-1,0,0,0,0,E6,a280,1,4.009,4.009,4.009,0.0,2654.0,0.0
serial,opt,a280,280,1,1,240,240,488,8,1,0.15,2627,1.86119,4.002,-1,0,0,0,0,E6,a280,1,4.002,4.002,4.002,0.0,2627.0,0.0
serial,opt,a280,280,1,1,240,240,479,9,1,0.15,2608,1.12447,4.002,-1,0,0,0,0,E6,a280,1,4.002,4.002,4.002,0.0,2608.0,0.0
serial,opt,a280,280,1,1,240,240,482,10,1,0.15,2634,2.13261,4.002,-1,0,0,0,0,E6,a280,1,4.002,4.002,4.002,0.0,2634.0,0.0
serial,opt,a280,280,1,1,240,240,474,11,1,0.15,2695,4.49787,4,-1,0,0,0,0,E6,a280,1,4.0,4.0,4.0,0.0,2695.0,0.0
serial,opt,a280,280,1,1,240,240,483,12,1,0.15,2645,2.55913,4.005,-1,0,0,0,0,E6,a280,1,4.005,4.005,4.005,0.0,2645.0,0.0
island-fixed,opt,a280,280,4,8,30,240,1050,1,1,0.15,2601,0.853044,4.022,-1,840,836,840,0,E6,a280,1,4.022,4.022,4.022,0.0,2601.0,0.0
island-fixed,opt,a280,280,4,8,30,240,920,2,1,0.15,2587,0.310198,4.032,-1,736,729,736,0,E6,a280,1,4.032,4.032,4.032,0.0,2587.0,0.0
island-fixed,opt,a280,280,4,8,30,240,920,3,1,0.15,2613,1.31834,4.008,-1,736,729,736,0,E6,a280,1,4.008,4.008,4.008,0.0,2613.0,0.0
island-fixed,opt,a280,280,4,8,30,240,930,4,1,0.15,2612,1.27957,4.039,-1,744,739,744,0,E6,a280,1,4.039,4.039,4.039,0.0,2612.0,0.0
island-fixed,opt,a280,280,4,8,30,240,920,5,1,0.15,2583,0.155099,4.028,-1,736,732,736,0,E6,a280,1,4.028,4.028,4.028,0.0,2583.0,0.0
island-fixed,opt,a280,280,4,8,30,240,860,6,1,0.15,2628,1.89996,4.002,-1,688,682,688,0,E6,a280,1,4.002,4.002,4.002,0.0,2628.0,0.0
island-fixed,opt,a280,280,4,8,30,240,920,7,1,0.15,2590,0.426522,4.016,-1,736,731,736,0,E6,a280,1,4.016,4.016,4.016,0.0,2590.0,0.0
island-fixed,opt,a280,280,4,8,30,240,920,8,1,0.15,2613,1.31834,4.019,-1,736,731,736,0,E6,a280,1,4.019,4.019,4.019,0.0,2613.0,0.0
island-fixed,opt,a280,280,4,8,30,240,940,9,1,0.15,2603,0.930593,4.009,-1,752,748,752,0,E6,a280,1,4.009,4.009,4.009,0.0,2603.0,0.0
island-fixed,opt,a280,280,4,8,30,240,900,10,1,0.15,2639,2.32648,4.017,-1,720,715,720,0,E6,a280,1,4.017,4.017,4.017,0.0,2639.0,0.0
island-fixed,opt,a280,280,4,8,30,240,900,11,1,0.15,2596,0.65917,4.034,-1,720,716,720,0,E6,a280,1,4.034,4.034,4.034,0.0,2596.0,0.0
