mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,epoch_len,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-fixed,opt,uniform500,500,1,8,30,240,4000,1,0,0.15,22608.6,41.927,11.173,-1,32000,31701,32000,0,E7,1,3,11.173,11.302,11.33,0.0060677259984744615,22608.6,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,2,0,0.15,22745.7,42.7879,11.041,-1,32000,31725,32000,0,E7,1,3,11.041,11.142,11.148,0.004418159427061485,22745.7,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,1,0,0.15,24118.8,51.4073,7.371,-1,16000,15859,16000,0,E7,2,3,7.371,7.488,7.515,0.008379994632340942,24118.8,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,2,0,0.15,25295.8,58.796,7.519,-1,16000,15839,16000,0,E7,2,3,7.519,7.562,7.567,0.002854002580570884,25295.8,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,1,0,0.15,28777.3,80.651,5.162,-1,6400,6366,6400,0,E7,5,3,5.162,5.196,5.22,0.004582505661208034,28777.3,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,2,0,0.15,27994.2,75.7352,5.223,-1,6400,6360,6400,0,E7,5,3,5.223,5.241,5.287,0.005132723746151425,27994.2,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,1,0,0.15,32470.1,103.833,4.446,-1,3200,3192,3200,0,E7,10,3,4.414,4.446,4.447,0.0034551931863147883,32470.1,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,2,0,0.15,34925.1,119.245,4.407,-1,3200,3191,3200,0,E7,10,3,4.398,4.407,4.444,0.004507207676604625,34925.1,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,1,0,0.15,38025.3,138.706,3.985,-1,1280,1280,1280,0,E7,25,3,3.942,3.967,3.985,0.004447294822746967,38025.3,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,2,0,0.15,39949,150.782,3.987,-1,1280,1279,1280,0,E7,25,3,3.949,3.963,3.987,0.003956165155371003,39949.0,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,1,0,0.15,41026.6,157.547,3.781,-1,640,640,640,0,E7,50,3,3.781,3.782,3.783,0.00021589015889149552,41026.6,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,2,0,0.15,41278.5,159.128,3.769,-1,640,640,640,0,E7,50,3,3.769,3.783,3.935,0.019631996960501347,41278.5,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,1,0,0.15,42506.4,166.836,3.769,-1,320,320,320,0,E7,100,3,3.696,3.703,3.769,0.008834261808324214,42506.4,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,2,0,0.15,43821.4,175.092,3.702,-1,320,320,320,0,E7,100,3,3.696,3.702,3.762,0.008010572271909313,43821.4,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,1,0,0.15,44140.9,177.098,3.636,-1,128,128,128,0,E7,250,3,3.636,3.662,3.662,0.0033548861881113313,44140.9,40.97
island-fixed,opt,uniform500,500,1,8,30,240,4000,2,0,0.15,44759.2,180.979,3.631,-1,128,128,128,0,E7,250,3,3.631,3.641,3.651,0.0022425064018888404,44759.2,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,1,0,0.15,22608.6,41.927,3.804,-1,32000,31701,32000,0,E7,1,3,3.804,3.829,3.84,0.003938681609934643,22608.6,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,2,0,0.15,22745.7,42.7879,4.283,-1,32000,31725,32000,0,E7,1,3,4.283,4.905,5.207,0.08017117909008939,22745.7,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,1,0,0.15,24118.8,51.4073,3.226,-1,16000,15859,16000,0,E7,2,3,3.115,3.129,3.226,0.015636146322193546,24118.8,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,2,0,0.15,25295.8,58.796,3.126,-1,16000,15839,16000,0,E7,2,3,3.126,3.167,3.214,0.01134543196486281,25295.8,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,1,0,0.15,28777.3,80.651,2.181,-1,6400,6366,6400,0,E7,5,3,2.159,2.181,2.217,0.010938185802678777,28777.3,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,2,0,0.15,27994.2,75.7352,2.244,-1,6400,6360,6400,0,E7,5,3,2.048,2.127,2.244,0.037630342239870246,27994.2,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,1,0,0.15,32470.1,103.833,1.704,-1,3200,3192,3200,0,E7,10,3,1.674,1.681,1.704,0.007599281591911873,32470.1,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,2,0,0.15,34925.1,119.245,1.682,-1,3200,3191,3200,0,E7,10,3,1.682,1.909,1.91,0.05848680540859677,34925.1,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,1,0,0.15,38025.3,138.706,1.488,-1,1280,1280,1280,0,E7,25,3,1.462,1.488,1.597,0.03858544050884265,38025.3,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,2,0,0.15,39949,150.782,1.596,-1,1280,1279,1280,0,E7,25,3,1.472,1.596,1.674,0.05262074095081759,39949.0,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,1,0,0.15,41026.6,157.547,1.419,-1,640,640,640,0,E7,50,3,1.388,1.408,1.419,0.009133274759155508,41026.6,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,2,0,0.15,41278.5,159.128,1.383,-1,640,640,640,0,E7,50,3,1.383,1.418,1.527,0.04250507222459064,41278.5,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,1,0,0.15,42506.4,166.836,1.347,-1,320,320,320,0,E7,100,3,1.341,1.347,1.529,0.06206608680618778,42506.4,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,2,0,0.15,43821.4,175.092,1.394,-1,320,320,320,0,E7,100,3,1.394,1.454,1.463,0.021313003244416956,43821.4,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,1,0,0.15,44140.9,177.098,1.31,-1,128,128,128,0,E7,250,3,1.31,1.322,1.342,0.009964262643796351,44140.9,40.97
island-fixed,opt,uniform500,500,4,8,30,240,4000,2,0,0.15,44759.2,180.979,1.382,-1,128,128,128,0,E7,250,3,1.378,1.38,1.382,0.0011833283781561258,44759.2,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,1,0,0.15,22608.6,41.927,4.646,-1,32000,31701,32000,0,E7,1,3,4.531,4.646,4.667,0.012954180174205144,22608.6,40.97
