mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,landscape,epoch_len
island-fixed,opt,uniform500,500,4,8,30,240,4095,1,0,0.15,27857.5,74.8773,4.006,-1,6552,6518,6552,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,3690,2,0,0.15,29661.9,86.2043,4.001,-1,5904,5864,5904,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,5755,3,0,0.15,24136.6,51.519,4.004,-1,9208,9172,9208,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,6240,4,0,0.15,22998.7,44.376,4.002,-1,9984,9937,9984,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,6095,5,0,0.15,23760.8,49.1601,4.002,-1,9752,9709,9752,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,4740,6,0,0.15,26492.4,66.3076,4.002,-1,7584,7540,7584,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,6275,7,0,0.15,22820.8,43.259,4.004,-1,10040,10005,10040,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,5930,8,0,0.15,23129.6,45.1975,4.001,-1,9488,9449,9488,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,6640,1,0,0.15,24333.6,52.756,4.007,-1,5312,5304,5312,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,4710,2,0,0.15,31176.2,95.7107,4.002,-1,3768,3759,3768,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,3860,3,0,0.15,35234.3,121.185,4.002,-1,3088,3071,3088,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,4200,4,0,0.15,34343,115.59,4.014,-1,3360,3353,3360,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,3500,5,0,0.15,37621.8,136.173,4.003,-1,2800,2794,2800,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,5090,6,0,0.15,28606.6,79.5798,4.004,-1,4072,4059,4072,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,5000,7,0,0.15,29628.1,85.9923,4.008,-1,4000,3989,4000,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,5070,8,0,0.15,28542.1,79.1748,4.002,-1,4056,4045,4056,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,4775,1,0,0.15,34669.8,117.642,4.003,-1,1528,1528,1528,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,4700,2,0,0.15,35677.7,123.969,4.003,-1,1504,1503,1504,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,5075,3,0,0.15,33839.1,112.427,4.02,-1,1624,1624,1624,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,3900,4,0,0.15,40124.9,151.887,4.005,-1,1248,1248,1248,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,5950,5,0,0.15,31026.4,94.7704,4.009,-1,1904,1904,1904,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,7825,6,0,0.15,26175.8,64.3201,4.017,-1,2504,2503,2504,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,4850,7,0,0.15,33122.4,107.928,4.162,-1,1552,1552,1552,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,1800,8,0,0.15,62101,289.843,4,-1,576,576,576,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,5400,1,0,0.15,34715,117.925,4.003,-1,864,864,864,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,5950,2,0,0.15,32970.7,106.975,4.059,-1,952,952,952,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,5100,3,0,0.15,36579.4,129.629,4.028,-1,816,815,816,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,5100,4,0,0.15,36289.4,127.809,4.012,-1,816,816,816,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,7650,5,0,0.15,28547.7,79.2099,4.009,-1,1224,1224,1224,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,9200,6,0,0.15,25755.8,61.6839,4.03,-1,1472,1472,1472,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,9100,7,0,0.15,26623.7,67.1317,4.028,-1,1456,1456,1456,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,10450,8,0,0.15,24513.5,53.8852,4.023,-1,1672,1672,1672,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,9500,1,0,0.15,27162.5,70.5142,4.006,-1,760,760,760,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,8400,2,0,0.15,29496.4,85.1654,4.029,-1,672,672,672,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,9600,3,0,0.15,27617.9,73.3732,4.017,-1,768,768,768,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,9600,4,0,0.15,27230.7,70.9422,4.01,-1,768,768,768,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,9200,5,0,0.15,28203.3,77.0477,4.016,-1,736,736,736,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,8500,6,0,0.15,29034.8,82.2677,4.054,-1,680,680,680,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,9300,7,0,0.15,27730.5,74.0798,4.036,-1,744,744,744,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,8700,8,0,0.15,28435.7,78.5067,4.573,-1,696,696,696,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,1800,1,0,0.15,66603.4,318.107,4.022,-1,72,72,72,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,9800,2,0,0.15,27927.6,75.3172,4.064,-1,392,392,392,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,9200,3,0,0.15,29407.5,84.6075,4.024,-1,368,368,368,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,9800,4,0,0.15,28643,79.8082,4.067,-1,392,392,392,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,10400,5,0,0.15,27842.3,74.7816,4.015,-1,416,416,416,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,9000,6,0,0.15,29729,86.6255,4.14,-1,360,360,360,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,10200,7,0,0.15,28321.1,77.7878,4.05,-1,408,408,408,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,10400,8,0,0.15,27201.3,70.758,4.115,-1,416,416,416,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,3995,1,0,0.15,25947.7,62.8884,4.001,-1,6349,6349,6392,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,2980,2,0,0.15,31883.5,100.151,4.002,-1,4729,4729,4768,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,2970,3,0,0.15,32826,106.067,4.004,-1,4714,4714,4752,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,2890,4,0,0.15,33980.1,113.312,4.004,-1,4569,4569,4624,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,3170,5,0,0.15,31752.2,99.3264,4.006,-1,5038,5038,5072,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,3105,6,0,0.15,31630.4,98.5616,4.002,-1,4913,4913,4968,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,3240,7,0,0.15,29991.6,88.274,4.005,-1,5137,5137,5184,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,3190,8,0,0.15,31532.3,97.9463,4.004,-1,5062,5062,5104,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,4260,1,0,0.15,29878,87.561,4.001,-1,3393,3393,3408,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,4390,2,0,0.15,29620.4,85.9437,4.012,-1,3508,3508,3512,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,4490,3,0,0.15,28934.7,81.6392,4.002,-1,3582,3582,3592,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,4580,4,0,0.15,28609.5,79.5979,4.006,-1,3656,3656,3664,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,4240,5,0,0.15,28947.3,81.7184,4.007,-1,3383,3383,3392,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,4320,6,0,0.15,30068.1,88.7541,4,-1,3447,3447,3456,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,4210,7,0,0.15,31308.3,96.5397,4.004,-1,3362,3362,3368,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,4440,8,0,0.15,29352.8,84.2637,4.001,-1,3545,3545,3552,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,5575,1,0,0.15,29688.3,86.3705,4.012,-1,1783,1783,1784,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,5675,2,0,0.15,30013.9,88.414,4.005,-1,1816,1816,1816,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,6025,3,0,0.15,29211.1,83.3747,4.001,-1,1927,1927,1928,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,7825,4,0,0.15,24910.1,56.3749,4.006,-1,2504,2504,2504,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,8375,5,0,0.15,23865.5,49.8169,4.005,-1,2679,2679,2680,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,8125,6,0,0.15,24356.2,52.8975,4.001,-1,2600,2600,2600,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,7875,7,0,0.15,24860.5,56.0632,4.009,-1,2520,2520,2520,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,8700,8,0,0.15,23410.8,46.9631,4.003,-1,2784,2784,2784,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,9350,1,0,0.15,25346.5,59.1144,4.003,-1,1496,1496,1496,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,9900,2,0,0.15,24281.3,52.4276,4.001,-1,1584,1584,1584,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,9650,3,0,0.15,24451.5,53.4959,4.003,-1,1543,1543,1544,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,6650,4,0,0.15,30124.8,89.1101,4.02,-1,1064,1064,1064,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,6400,5,0,0.15,31724.8,99.1547,4.023,-1,1024,1024,1024,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,6800,6,0,0.15,29710,86.5067,4.026,-1,1088,1088,1088,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,8750,7,0,0.15,26982.1,69.3817,4.001,-1,1400,1400,1400,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,9100,8,0,0.15,25470.9,59.8952,4.016,-1,1456,1456,1456,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,9800,1,0,0.15,26894.9,68.8344,4.028,-1,784,784,784,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,10800,2,0,0.15,25768,61.7603,4.035,-1,864,864,864,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,9300,3,0,0.15,27429.1,72.1882,4.041,-1,744,744,744,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,7100,4,0,0.15,30988,94.5289,4.035,-1,568,568,568,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,6800,5,0,0.15,32760.1,105.654,4.041,-1,544,544,544,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,6600,6,0,0.15,32876,106.381,4.058,-1,528,528,528,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,7000,7,0,0.15,32060.3,101.261,4.038,-1,560,560,560,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,6900,8,0,0.15,32648.2,104.951,4.007,-1,552,552,552,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,8400,1,0,0.15,29583.4,85.7115,4.05,-1,336,336,336,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,11000,2,0,0.15,26203.3,64.4932,4.015,-1,440,440,440,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,10800,3,0,0.15,27233.3,70.9586,4.051,-1,432,432,432,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,11200,4,0,0.15,26271.9,64.9237,4.061,-1,448,448,448,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,13200,5,0,0.15,25606,60.7432,4.02,-1,528,528,528,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,14400,6,0,0.15,24157.4,51.6497,4.053,-1,576,576,576,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,14400,7,0,0.15,23461.2,47.279,4.003,-1,576,576,576,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,14400,8,0,0.15,24284.1,52.445,4.056,-1,576,576,576,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,325,1,1,0.15,16445.8,3.23923,4.015,-1,520,501,520,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,325,2,1,0.15,16759.7,5.20992,4.049,-1,520,499,520,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,315,3,1,0.15,17141.6,7.60743,4.01,-1,504,484,504,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,315,4,1,0.15,17191.6,7.9212,4.06,-1,504,488,504,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,320,5,1,0.15,17062.6,7.11164,4.023,-1,512,498,512,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,335,6,1,0.15,16839.5,5.71087,4.033,-1,536,520,536,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,315,7,1,0.15,17389.4,9.16333,4.015,-1,504,484,504,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,320,8,1,0.15,17135.4,7.56849,4.046,-1,512,494,512,0,uniform500,5
island-fixed,opt,uniform500,500,4,8,30,240,330,1,1,0.15,16539.6,3.8286,4.062,-1,264,256,264,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,280,2,1,0.15,16874,5.92773,4.03,-1,224,220,224,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,320,3,1,0.15,17381.6,9.11412,4.069,-1,256,250,256,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,320,4,1,0.15,17300.6,8.60563,4.039,-1,256,250,256,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,310,5,1,0.15,17083.3,7.24135,4.106,-1,248,244,248,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,320,6,1,0.15,16986,6.63069,4.011,-1,256,249,256,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,320,7,1,0.15,17271.7,8.42434,4.017,-1,256,249,256,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,330,8,1,0.15,16972.5,6.5457,4.092,-1,264,257,264,0,uniform500,10
island-fixed,opt,uniform500,500,4,8,30,240,350,1,1,0.15,16644.6,4.48752,4.182,-1,112,112,112,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,350,2,1,0.15,16949.9,6.40432,4.185,-1,112,112,112,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,350,3,1,0.15,17374.1,9.06702,4.199,-1,112,112,112,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,350,4,1,0.15,17465.3,9.63943,4.102,-1,112,112,112,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,350,5,1,0.15,17157.6,7.70822,4.21,-1,112,112,112,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,350,6,1,0.15,17090.8,7.28832,4.167,-1,112,112,112,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,350,7,1,0.15,17287.1,8.52105,4.268,-1,112,112,112,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,350,8,1,0.15,17174.6,7.81492,4.281,-1,112,112,112,0,uniform500,25
island-fixed,opt,uniform500,500,4,8,30,240,350,1,1,0.15,16563.1,3.97602,4.251,-1,56,56,56,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,350,2,1,0.15,17020.7,6.84862,4.167,-1,56,56,56,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,350,3,1,0.15,17269.7,8.41138,4.396,-1,56,56,56,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,350,4,1,0.15,17509.6,9.9175,4.407,-1,56,56,56,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,350,5,1,0.15,17124.7,7.5015,4.43,-1,56,56,56,0,uniform500,50
