best_len,config,donor_fallback,donor_found,engine,exp,gap,generations,instance,island_epochs,island_pop,islands,landscape,migrations,mode,n,seed,stag_epochs,tau,threads,time_to_target,total_pop,total_time,twoopt,valid,variant
16714.3,,0,0,opt,E9,4.92487,240,uniform500,192,30,8,uniform500,192,island-fixed,500,1,184,0.15,4,-1,240,3.055,1,0,naive
17002.1,,0,0,opt,E9,6.73197,230,uniform500,184,30,8,uniform500,184,island-fixed,500,2,180,0.15,4,-1,240,3.122,1,0,naive
17495.9,,0,0,opt,E9,9.83178,210,uniform500,168,30,8,uniform500,168,island-fixed,500,3,162,0.15,4,-1,240,3.02,1,0,naive
17359.3,,0,0,opt,E9,8.97417,210,uniform500,168,30,8,uniform500,168,island-fixed,500,4,162,0.15,4,-1,240,3.049,1,0,naive
17211.4,,0,0,opt,E9,8.04539,210,uniform500,168,30,8,uniform500,168,island-fixed,500,5,164,0.15,4,-1,240,3.037,1,0,naive
17105.5,,0,0,opt,E9,7.38101,210,uniform500,168,30,8,uniform500,168,island-fixed,500,6,161,0.15,4,-1,240,3,1,0,naive
17412.9,,0,0,opt,E9,9.31062,210,uniform500,168,30,8,uniform500,168,island-fixed,500,7,161,0.15,4,-1,240,3.077,1,0,naive
17115.5,,0,0,opt,E9,7.44336,200,uniform500,160,30,8,uniform500,160,island-fixed,500,8,153,0.15,4,-1,240,3.136,1,0,naive
17403.1,,0,0,opt,E9,9.24875,190,uniform500,152,30,8,uniform500,152,island-fixed,500,9,145,0.15,4,-1,240,3.006,1,0,naive
17412.1,,0,0,opt,E9,9.30565,200,uniform500,160,30,8,uniform500,160,island-fixed,500,10,153,0.15,4,-1,240,3.035,1,0,naive
16123.1,,0,0,opt,E9,1.2136,3160,uniform500,2528,30,8,uniform500,2528,island-fixed,500,1,2527,0.15,4,-1,240,3.008,1,0,fast
16280.8,,0,0,opt,E9,2.20347,3200,uniform500,2560,30,8,uniform500,2560,island-fixed,500,2,2560,0.15,4,-1,240,3.008,1,0,fast
16767.2,,0,0,opt,E9,5.2574,2990,uniform500,2392,30,8,uniform500,2392,island-fixed,500,3,2389,0.15,4,-1,240,3.002,1,0,fast
16680,,0,0,opt,E9,4.70992,3100,uniform500,2480,30,8,uniform500,2480,island-fixed,500,4,2479,0.15,4,-1,240,3.001,1,0,fast
16551.7,,0,0,opt,E9,3.90436,2980,uniform500,2384,30,8,uniform500,2384,island-fixed,500,5,2381,0.15,4,-1,240,3.007,1,0,fast
16382.1,,0,0,opt,E9,2.8396,2970,uniform500,2376,30,8,uniform500,2376,island-fixed,500,6,2372,0.15,4,-1,240,3,1,0,fast
16718.1,,0,0,opt,E9,4.94902,3050,uniform500,2440,30,8,uniform500,2440,island-fixed,500,7,2436,0.15,4,-1,240,3.001,1,0,fast
16533.1,,0,0,opt,E9,3.78786,2890,uniform500,2312,30,8,uniform500,2312,island-fixed,500,8,2312,0.15,4,-1,240,3.011,1,0,fast
16955,,0,0,opt,E9,6.43605,2830,uniform500,2264,30,8,uniform500,2264,island-fixed,500,9,2262,0.15,4,-1,240,3.008,1,0,fast
16756.8,,0,0,opt,E9,5.19174,3040,uniform500,2432,30,8,uniform500,2432,island-fixed,500,10,2430,0.15,4,-1,240,3,1,0,fast
16691.4,,136,14,opt,E9,4.78136,200,uniform500,160,30,8,uniform500,150,island-dtam,500,1,150,0.15,4,-1,240,3.158,1,0,naive
16748.9,,136,16,opt,E9,5.14209,200,uniform500,160,30,8,uniform500,152,island-dtam,500,2,152,0.15,4,-1,240,3.128,1,0,naive
17252.6,,152,3,opt,E9,8.30415,200,uniform500,160,30,8,uniform500,155,island-dtam,500,3,155,0.15,4,-1,240,3.119,1,0,naive
17314.7,,144,10,opt,E9,8.69385,200,uniform500,160,30,8,uniform500,154,island-dtam,500,4,154,0.15,4,-1,240,3.108,1,0,naive
17109.4,,128,25,opt,E9,7.40555,200,uniform500,160,30,8,uniform500,153,island-dtam,500,5,153,0.15,4,-1,240,3.111,1,0,naive
17244.5,,152,2,opt,E9,8.25343,200,uniform500,160,30,8,uniform500,154,island-dtam,500,6,154,0.15,4,-1,240,3.056,1,0,naive
17325.7,,144,9,opt,E9,8.76345,200,uniform500,160,30,8,uniform500,153,island-dtam,500,7,153,0.15,4,-1,240,3.104,1,0,naive
17223.2,,136,16,opt,E9,8.11975,200,uniform500,160,30,8,uniform500,152,island-dtam,500,8,152,0.15,4,-1,240,3.11,1,0,naive
17424.7,,136,9,opt,E9,9.38467,190,uniform500,152,30,8,uniform500,145,island-dtam,500,9,145,0.15,4,-1,240,3.151,1,0,naive
17536,,152,1,opt,E9,10.0832,200,uniform500,160,30,8,uniform500,153,island-dtam,500,10,153,0.15,4,-1,240,3.084,1,0,naive
16135.8,,2184,7,opt,E9,1.29369,2740,uniform500,2192,30,8,uniform500,2191,island-dtam,500,1,2191,0.15,4,-1,240,3.001,1,0,fast
16282.4,,2168,0,opt,E9,2.2141,2710,uniform500,2168,30,8,uniform500,2168,island-dtam,500,2,2168,0.15,4,-1,240,3.005,1,0,fast
16787.8,,2160,7,opt,E9,5.3866,2710,uniform500,2168,30,8,uniform500,2167,island-dtam,500,3,2167,0.15,4,-1,240,3.008,1,0,fast
16748.5,,2136,7,opt,E9,5.13948,2680,uniform500,2144,30,8,uniform500,2143,island-dtam,500,4,2143,0.15,4,-1,240,3.01,1,0,fast
16536.2,,2088,5,opt,E9,3.8068,2620,uniform500,2096,30,8,uniform500,2093,island-dtam,500,5,2093,0.15,4,-1,240,3.007,1,0,fast
16352.5,,2168,5,opt,E9,2.6537,2720,uniform500,2176,30,8,uniform500,2173,island-dtam,500,6,2173,0.15,4,-1,240,3.011,1,0,fast
16772.7,,2160,5,opt,E9,5.29157,2710,uniform500,2168,30,8,uniform500,2165,island-dtam,500,7,2165,0.15,4,-1,240,3.007,1,0,fast
16458.1,,2144,0,opt,E9,3.31669,2680,uniform500,2144,30,8,uniform500,2144,island-dtam,500,8,2144,0.15,4,-1,240,3.011,1,0,fast
16915.3,,2120,13,opt,E9,6.18662,2670,uniform500,2136,30,8,uniform500,2133,island-dtam,500,9,2133,0.15,4,-1,240,3,1,0,fast
16906.3,,2136,6,opt,E9,6.13008,2680,uniform500,2144,30,8,uniform500,2142,island-dtam,500,10,2142,0.15,4,-1,240,3.006,1,0,fast
5303.53,,0,0,opt,E9,-1,140,clustered600,112,30,8,clustered600,112,island-fixed,600,1,109,0.15,4,-1,240,3.197,1,0,naive
5609.01,,0,0,opt,E9,-1,140,clustered600,112,30,8,clustered600,112,island-fixed,600,2,110,0.15,4,-1,240,3.165,1,0,naive
5378.15,,0,0,opt,E9,-1,130,clustered600,104,30,8,clustered600,104,island-fixed,600,3,102,0.15,4,-1,240,3.002,1,0,naive
4711.5,,0,0,opt,E9,-1,140,clustered600,112,30,8,clustered600,112,island-fixed,600,4,107,0.15,4,-1,240,3.183,1,0,naive
5807.93,,0,0,opt,E9,-1,140,clustered600,112,30,8,clustered600,112,island-fixed,600,5,107,0.15,4,-1,240,3.134,1,0,naive
5184.26,,0,0,opt,E9,-1,130,clustered600,104,30,8,clustered600,104,island-fixed,600,6,103,0.15,4,-1,240,3.001,1,0,naive
5985.91,,0,0,opt,E9,-1,140,clustered600,112,30,8,clustered600,112,island-fixed,600,7,106,0.15,4,-1,240,3.188,1,0,naive
4764.86,,0,0,opt,E9,-1,130,clustered600,104,30,8,clustered600,104,island-fixed,600,8,102,0.15,4,-1,240,3.082,1,0,naive
