mode,instance,n,threads,island_pop,total_pop,generations,seed,twoopt,best_len,gap,total_time,time_to_target,migrations
serial,uniform500,500,1,240,240,400,1,1,16903.9,6.11517,4.41975,-1,0
island-fixed,uniform500,500,1,240,240,400,1,1,17085.7,7.25648,4.37324,-1,0
island-dtam,uniform500,500,1,240,240,400,1,1,17085.7,7.25648,4.20655,-1,0
island-fixed,uniform500,500,2,120,240,400,1,1,16604.4,4.23538,2.4159,2.03348,80
island-dtam,uniform500,500,2,120,240,400,1,1,17025.2,6.87662,2.39651,-1,25
island-fixed,uniform500,500,4,60,240,400,1,1,16541.2,3.83857,1.88234,0.936627,160
island-dtam,uniform500,500,4,60,240,400,1,1,16702.9,4.85359,1.88015,1.73743,133
island-fixed,uniform500,500,6,40,240,400,1,1,16584,4.10688,1.8498,0.646522,240
island-dtam,uniform500,500,6,40,240,400,1,1,16448.5,3.25663,1.72078,0.603072,232
island-fixed,uniform500,500,8,30,240,400,1,1,16552,3.9062,1.76289,0.618019,320
island-dtam,uniform500,500,8,30,240,400,1,1,16447,3.24727,2.57447,1.04,313
serial,uniform500,500,1,240,240,400,2,1,17248.9,8.281,4.50835,-1,0
island-fixed,uniform500,500,1,240,240,400,2,1,17210.3,8.03897,4.29358,-1,0
island-dtam,uniform500,500,1,240,240,400,2,1,17210.3,8.03897,4.27027,-1,0
island-fixed,uniform500,500,2,120,240,400,2,1,16609.3,4.26577,2.72259,2.06964,80
island-dtam,uniform500,500,2,120,240,400,2,1,16650.3,4.52348,2.69624,2.12403,47
island-fixed,uniform500,500,4,60,240,400,2,1,16687.3,4.75538,2.43812,1.91631,160
island-dtam,uniform500,500,4,60,240,400,2,1,16714.7,4.92745,2.25668,2.20207,140
island-fixed,uniform500,500,6,40,240,400,2,1,16640.5,4.46176,2.08284,1.52852,240
island-dtam,uniform500,500,6,40,240,400,2,1,16851.5,5.7861,2.25091,-1,223
island-fixed,uniform500,500,8,30,240,400,2,1,16930,6.27894,2.04533,-1,320
island-dtam,uniform500,500,8,30,240,400,2,1,16737.6,5.07155,1.96218,-1,316
serial,uniform500,500,1,240,240,400,3,1,17534.9,10.0762,4.29909,-1,0
island-fixed,uniform500,500,1,240,240,400,3,1,17451.3,9.55156,4.32828,-1,0
island-dtam,uniform500,500,1,240,240,400,3,1,17451.3,9.55156,4.34238,-1,0
island-fixed,uniform500,500,2,120,240,400,3,1,17200.6,7.97795,2.51625,-1,80
island-dtam,uniform500,500,2,120,240,400,3,1,17207.3,8.01974,2.80239,-1,36
island-fixed,uniform500,500,4,60,240,400,3,1,17005.7,6.7543,2.32598,-1,160
island-dtam,uniform500,500,4,60,240,400,3,1,17367.6,9.02638,2.42833,-1,144
island-fixed,uniform500,500,6,40,240,400,3,1,17101.7,7.3572,1.90248,-1,240
island-dtam,uniform500,500,6,40,240,400,3,1,17218.3,8.08917,1.7581,-1,232
island-fixed,uniform500,500,8,30,240,400,3,1,17146,7.63538,1.64237,-1,320
island-dtam,uniform500,500,8,30,240,400,3,1,17292.8,8.55648,2.12052,-1,314
serial,uniform500,500,1,240,240,400,4,1,17468.5,9.65974,4.30506,-1,0
island-fixed,uniform500,500,1,240,240,400,4,1,17620.6,10.6145,4.28296,-1,0
island-dtam,uniform500,500,1,240,240,400,4,1,17620.6,10.6145,4.24157,-1,0
island-fixed,uniform500,500,2,120,240,400,4,1,17199.4,7.97059,2.56762,-1,80
island-dtam,uniform500,500,2,120,240,400,4,1,17075.1,7.19008,2.56795,-1,46
island-fixed,uniform500,500,4,60,240,400,4,1,17227.9,8.14916,1.96861,-1,160
island-dtam,uniform500,500,4,60,240,400,4,1,16938.3,6.33125,2.02408,-1,149
island-fixed,uniform500,500,6,40,240,400,4,1,17383.8,9.12797,1.88695,-1,240
island-dtam,uniform500,500,6,40,240,400,4,1,16974.1,6.55622,1.67805,-1,230
island-fixed,uniform500,500,8,30,240,400,4,1,17122.7,7.48875,1.65931,-1,320
island-dtam,uniform500,500,8,30,240,400,4,1,17079.6,7.21851,1.71277,-1,314
serial,uniform500,500,1,240,240,400,5,1,17529.3,10.0413,4.23933,-1,0
island-fixed,uniform500,500,1,240,240,400,5,1,17319.2,8.72209,4.21381,-1,0
island-dtam,uniform500,500,1,240,240,400,5,1,17319.2,8.72209,4.22693,-1,0
island-fixed,uniform500,500,2,120,240,400,5,1,16884.8,5.99566,2.87873,-1,80
island-dtam,uniform500,500,2,120,240,400,5,1,16983.9,6.61724,3.05498,-1,55
island-fixed,uniform500,500,4,60,240,400,5,1,16767.5,5.25906,2.39901,-1,160
island-dtam,uniform500,500,4,60,240,400,5,1,16981.8,6.60408,2.14485,-1,147
island-fixed,uniform500,500,6,40,240,400,5,1,17002.8,6.73612,1.73545,-1,240
island-dtam,uniform500,500,6,40,240,400,5,1,16877.6,5.95018,1.81029,-1,233
island-fixed,uniform500,500,8,30,240,400,5,1,17125,7.50343,1.81231,-1,320
island-dtam,uniform500,500,8,30,240,400,5,1,16936.7,6.321,1.75578,-1,314
serial,uniform500,500,1,240,240,400,6,1,17323.3,8.74797,4.25365,-1,0
island-fixed,uniform500,500,1,240,240,400,6,1,16985.1,6.62499,4.43932,-1,0
island-dtam,uniform500,500,1,240,240,400,6,1,16985.1,6.62499,4.29683,-1,0
island-fixed,uniform500,500,2,120,240,400,6,1,16907.2,6.13624,2.11836,-1,80
island-dtam,uniform500,500,2,120,240,400,6,1,16789.6,5.39808,2.35248,-1,46
island-fixed,uniform500,500,4,60,240,400,6,1,16690.5,4.77566,1.85346,1.85342,160
island-dtam,uniform500,500,4,60,240,400,6,1,16724.6,4.98973,1.85448,1.75521,142
island-fixed,uniform500,500,6,40,240,400,6,1,16886.3,6.00459,2.58402,-1,240
island-dtam,uniform500,500,6,40,240,400,6,1,17084.4,7.24862,2.35009,-1,227
island-fixed,uniform500,500,8,30,240,400,6,1,16957,6.44834,1.85342,-1,320
island-dtam,uniform500,500,8,30,240,400,6,1,16922.9,6.23442,1.8493,-1,311
serial,uniform500,500,1,240,240,400,7,1,17969.7,12.8062,4.5802,-1,0
island-fixed,uniform500,500,1,240,240,400,7,1,17689.9,11.0496,4.31941,-1,0
island-dtam,uniform500,500,1,240,240,400,7,1,17689.9,11.0496,4.45092,-1,0
island-fixed,uniform500,500,2,120,240,400,7,1,17312.3,8.67895,2.46788,-1,80
island-dtam,uniform500,500,2,120,240,400,7,1,17363.4,9.00015,2.44387,-1,32
island-fixed,uniform500,500,4,60,240,400,7,1,17187,7.89238,1.9925,-1,160
island-dtam,uniform500,500,4,60,240,400,7,1,17259.9,8.34994,2.58395,-1,145
island-fixed,uniform500,500,6,40,240,400,7,1,17323.2,8.74774,1.73017,-1,240
island-dtam,uniform500,500,6,40,240,400,7,1,17011.1,6.78801,1.78149,-1,231
island-fixed,uniform500,500,8,30,240,400,7,1,17266.3,8.39012,1.77272,-1,320
island-dtam,uniform500,500,8,30,240,400,7,1,17220.4,8.10197,2.25754,-1,312
serial,uniform500,500,1,240,240,400,8,1,17375.8,9.07798,4.89954,-1,0
island-fixed,uniform500,500,1,240,240,400,8,1,17369.5,9.03794,4.22776,-1,0
island-dtam,uniform500,500,1,240,240,400,8,1,17369.5,9.03794,4.31088,-1,0
island-fixed,uniform500,500,2,120,240,400,8,1,16807.8,5.51214,2.26612,-1,80
island-dtam,uniform500,500,2,120,240,400,8,1,17403.1,9.24904,2.25943,-1,18
island-fixed,uniform500,500,4,60,240,400,8,1,16949.1,6.3988,1.78923,-1,160
island-dtam,uniform500,500,4,60,240,400,8,1,17069.1,7.15246,1.7394,-1,124
island-fixed,uniform500,500,6,40,240,400,8,1,16992.2,6.6699,1.9383,-1,240
island-dtam,uniform500,500,6,40,240,400,8,1,16995.7,6.69174,1.58248,-1,234
island-fixed,uniform500,500,8,30,240,400,8,1,17038.9,6.9628,1.62423,-1,320
island-dtam,uniform500,500,8,30,240,400,8,1,17023.5,6.86625,1.56442,-1,312
